GEOID,ffiec_income_level_2024
24033801704,Moderate
24033801707,Moderate
24033801709,Middle
24033801801,Moderate
24033801802,Moderate
24033801807,Moderate
24033801808,Moderate
24033801809,Moderate
24033801901,Middle
24033801904,Middle
24033801905,Upper
24033801906,Moderate
24033801907,Middle
24033801908,Moderate
24033802001,Moderate
24033802002,Middle
24033802103,Middle
24033802104,Moderate
24033802106,Moderate
24033802107,Moderate
24033802201,Middle
24033802203,Moderate
24033802204,Middle
24033802301,Moderate
24033802404,Low
24033802405,Moderate
24033802406,Moderate
24033802407,Moderate
24033802408,Middle
24033802501,Low
24033802502,Moderate
24033802600,Middle
24033802700,Middle
24033802803,Moderate
24033802804,Low
24033802805,Middle
24033802901,Moderate
24033803001,Moderate
24033803002,Moderate
24033803100,Moderate
24033803200,Moderate
24033803300,Moderate
24033803403,Moderate
24033803508,Middle
24033803509,Low
24033803512,Middle
24033803513,Middle
24033803514,Middle
24033803516,Upper
24033803519,Middle
24033803520,Upper
24033803521,Upper
24033803524,Moderate
24033803525,Moderate
24033803526,Middle
24033803527,Middle
24033803528,Middle
24033803601,Middle
24033803602,Moderate
24033803605,Middle
24033803606,Middle
24033803607,Middle
24033803608,Middle
24033803610,Middle
24033803612,Moderate
24033803613,Moderate
24033803700,Moderate
24033803801,Moderate
24033803803,Middle
24033803900,Middle
24033804001,Low
24033804002,Moderate
24033804101,Middle
24033804102,Middle
24033804200,Upper
24033804300,Moderate
24033804400,Moderate
24033804600,Middle
24033804700,Middle
24033804801,Moderate
24033804802,Moderate
24033804900,Middle
24033805000,Moderate
24033805101,Moderate
24033805201,Low
24033805202,Low
24033805500,Low
24033805601,Low
24033805602,Moderate
24033805700,Moderate
24033805801,Moderate
24033805802,Moderate
24033805904,Middle
24033805906,Moderate
24033805907,Moderate
24033805908,Moderate
24033805909,Moderate
24033806000,Moderate
24033806100,Middle
24033806400,Upper
24033806501,Moderate
24033806601,Moderate
24033806602,Moderate
24033806706,Middle
24033806708,Moderate
24033806710,Middle
24033806711,Moderate
24033806712,Moderate
24033806713,Moderate
24033806714,Moderate
24033806800,Middle
24033806900,Middle
24033807000,Upper
24033807102,Middle
24033807301,Moderate
24033807304,Middle
24033807305,Middle
24033807404,Middle
24033807405,Middle
24033807407,Middle
24033807408,Upper
24033807409,Middle
24033807410,Moderate
24033807500,Middle
24033980000,Middle
24015030100,Middle
24015030200,Middle
24015030400,Low
24015030501,Middle
24015030503,Moderate
24015030505,Middle
24015030507,Moderate
24015030508,Moderate
24015030601,Middle
24015030602,Middle
24015030700,Middle
24015030903,Moderate
24015030904,Upper
24015030905,Middle
24015030907,Middle
24015030908,Middle
24015031201,Middle
24015031202,Middle
24015031301,Middle
24015031302,Middle
24015031400,Middle
24001000100,Middle
24001000200,Middle
24001000500,Moderate
24001000600,Moderate
24001000700,Moderate
24001000800,Low
24001001000,Moderate
24001001100,Upper
24001001200,Upper
24001001300,Moderate
24001001401,Upper
24001001402,Middle
24001001502,Moderate
24001001503,Moderate
24001001600,Moderate
24001001700,Moderate
24001001800,Middle
24001001900,Middle
24001002000,Middle
24001002100,Middle
24001002200,Moderate
24001002300,Middle
24011955000,Middle
24011955100,Middle
24011955201,Middle
24011955202,Upper
24011955301,Middle
24011955302,Moderate
24011955400,Upper
24011955500,Middle
24011955600,Moderate
24019970100,Middle
24019970200,Middle
24019970300,Middle
24019970400,Middle
24019970500,Moderate
24019970600,Moderate
24019970702,Middle
24019970804,Middle
24019970900,Middle
24019990000,Unknown
24023000100,Middle
24023000200,Middle
24023000300,Middle
24023000400,Middle
24023000501,Middle
24023000502,Middle
24023000601,Middle
24023000602,Upper
24023000700,Moderate
24029950100,Upper
24029950200,Middle
24029950300,Middle
24029950400,Upper
24029950500,Middle
24029990000,Unknown
24041960100,Upper
24041960201,Upper
24041960300,Moderate
24041960400,Middle
24041960501,Upper
24041960502,Middle
24041960600,Upper
24041960700,Upper
24041960800,Upper
24041960900,Middle
24041990000,Unknown
24047950000,Middle
24047950100,Upper
24047950300,Middle
24047950400,Upper
24047950600,Upper
24047950700,Middle
24047950800,Upper
24047950900,Upper
24047951000,Middle
24047951101,Middle
24047951102,Middle
24047951200,Middle
24047951300,Moderate
24047951400,Middle
24047951500,Moderate
24047951700,Upper
24047980000,Unknown
24047990000,Unknown
